,full_name,selling_price,new_price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats
2515,Mahindra Scorpio SLE BSIII,4.6 Lakh*,New Car (On-Road Price) : Rs.15.17-19.68 Lakh*,2011,Individual,"1,05,000 kms",First Owner,Diesel,Manual,Mileage12.05 kmpl,Engine2179 CC,Max Power120 bhp,Seats8
2516,Hyundai Elantra 1.6 SX Option AT,15 Lakh*,New Car (On-Road Price) : Rs.22.44-25.31 Lakh*,2017,Dealer,"55,000 kms",First Owner,Diesel,Automatic,Mileage18.23 kmpl,Engine1582 CC,Max Power126.2 bhp,Seats5
2517,Maruti Baleno Alpha 1.2,7 Lakh*,New Car (On-Road Price) : Rs.7.05-10.73 Lakh*,2017,Individual,"43,000 kms",First Owner,Petrol,Manual,Mileage21.4 kmpl,Engine1197 CC,Max Power83.1 bhp,Seats5
2518,Jaguar XF 2.2 Litre Luxury,25.45 Lakh*,,2015,Dealer,"34,600 kms",First Owner,Diesel,Automatic,Mileage16.36 kmpl,Engine2179 CC,Max Power187.7 bhp,Seats5
2519,Maruti Swift ZDI Plus,7.9 Lakh*,,2018,Individual,"20,000 kms",First Owner,Diesel,Manual,Mileage28.4 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
2520,Volkswagen Vento Diesel Highline,2.8 Lakh*,,2012,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage20.54 kmpl,Engine1598 CC,Max Power103.6 bhp,Seats5
2521,Renault Fluence E4 D,8 Lakh*,,2014,Individual,"80,000 kms",First Owner,Diesel,Manual,Mileage20.4 kmpl,Engine1461 CC,Max Power108.45 bhp,Seats5
2522,Maruti Wagon R LXI CNG,3.75 Lakh*,New Car (On-Road Price) : Rs.6.10-6.18 Lakh*,2016,Dealer,"51,000 kms",First Owner,CNG,Manual,Mileage26.6 km/kg,Engine998 CC,Max Power58.16 bhp,Seats5
2523,Hyundai i20 Asta 1.2,6.29 Lakh*,New Car (On-Road Price) : Rs.8.38-13.24 Lakh*,2016,Dealer,"27,884 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Seats5
2524,Hyundai i20 1.4 Sportz,6.8 Lakh*,New Car (On-Road Price) : Rs.9.67-12.83 Lakh*,2017,Dealer,"37,000 kms",First Owner,Diesel,Manual,Mileage22.54 kmpl,Engine1396 CC,Max Power88.73 bhp,Seats5
2525,Toyota Innova 2.5 G (Diesel) 7 Seater,6.5 Lakh*,,2012,Individual,"5,00,000 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100 bhp,Seats7
2526,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,17.75 Lakh*,New Car (On-Road Price) : Rs.20.73-30.10 Lakh*,2016,Dealer,"51,000 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Seats7
2527,Maruti Swift Dzire LDI,3.95 Lakh*,,2015,Dealer,"1,04,000 kms",First Owner,Diesel,Manual,Mileage28.4 kmpl,Engine1248 CC,Max Power74.02 bhp,Seats5
2528,Tata Indica LPG GLS,"80,000*",,2008,Individual,"89,000 kms",First Owner,LPG,Manual,Mileage15.3 km/kg,Engine1193 CC,Max Power62 bhp,Seats5
2529,Toyota Innova Crysta 2016-2020 2.4 ZX MT BSIV,17 Lakh*,New Car (On-Road Price) : Rs.21.26-30.63 Lakh*,2017,Dealer,"1,10,000 kms",First Owner,Diesel,Manual,Mileage13.68 kmpl,Engine2393 CC,Max Power147.8 bhp,Seats7
2530,Maruti Wagon R VXI,2.11 Lakh*,,2010,Dealer,"57,000 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine998 CC,Max Power67.1 bhp,Seats5
2531,Renault Duster 85PS Diesel RxL Optional,4 Lakh*,,2012,Individual,"1,00,000 kms",First Owner,Diesel,Manual,Mileage20.46 kmpl,Engine1461 CC,Max Power83.8 bhp,Seats5
2532,Toyota Fortuner 3.0 Diesel,10.5 Lakh*,New Car (On-Road Price) : Rs.39.09-45.18 Lakh*,2010,Dealer,"74,000 kms",First Owner,Diesel,Manual,Mileage11.5 kmpl,Engine2982 CC,Max Power171 bhp,Seats7
2533,Chevrolet Spark 1.0,1.2 Lakh*,,2008,Individual,"50,000 kms",First Owner,Petrol,Manual,Mileage18.0 kmpl,Engine995 CC,Max Power62 bhp,Seats5
2534,Toyota Innova Crysta 2016-2020 2.4 G MT 8 STR,15.75 Lakh*,New Car (On-Road Price) : Rs.20.73-30.10 Lakh*,2017,Dealer,"1,09,000 kms",First Owner,Diesel,Manual,Mileage13.68 kmpl,Engine2393 CC,Max Power147.51 bhp,Seats8
2535,Hyundai Grand i10 Sportz,4.9 Lakh*,,2014,Dealer,"82,530 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power82 bhp,Seats5
2536,Maruti Ritz VXI ABS,3.2 Lakh*,,2012,Dealer,"84,000 kms",First Owner,Petrol,Manual,Mileage21.1 kmpl,Engine1197 CC,Max Power85.80 bhp,Seats5
2537,Renault Koleos 2.0 Diesel,10.01 Lakh*,,2012,Dealer,"45,000 kms",First Owner,Diesel,Automatic,Mileage13.73 kmpl,Engine1995 CC,Max Power148 bhp,Seats5
2538,Hyundai i20 Magna,3.4 Lakh*,New Car (On-Road Price) : Rs.7.90-13.23 Lakh*,2011,Dealer,"23,000 kms",First Owner,Petrol,Manual,Mileage18.5 kmpl,Engine1197 CC,Max Power80 bhp,Seats5
2539,Maruti Alto K10 VXI AGS,4.25 Lakh*,,2019,Dealer,"7,602 kms",First Owner,Petrol,Automatic,Mileage23.95 kmpl,Engine998 CC,Max Power67.05 bhp,Seats5
2540,Maruti Vitara Brezza VDi,8.5 Lakh*,,2017,Dealer,"77,665 kms",First Owner,Diesel,Manual,Mileage24.3 kmpl,Engine1248 CC,Max Power88.5 bhp,Seats5
2541,Toyota Corolla Altis Diesel D4DG,5.9 Lakh*,,2012,Dealer,"84,000 kms",First Owner,Diesel,Manual,Mileage21.43 kmpl,Engine1364 CC,Max Power87.2 bhp,Seats5
2542,Mahindra Thar DI 4X2,7.71 Lakh*,New Car (On-Road Price) : Rs.14.63-16.58 Lakh*,2018,Dealer,"11,000 kms",First Owner,Diesel,Manual,Mileage18.06 kmpl,Engine2523 CC,Max Power63 bhp,Seats7
2543,Hyundai Santro Xing GLS LPG,2.3 Lakh*,,2010,Dealer,"35,000 kms",First Owner,LPG,Manual,Mileage13.45 km/kg,Engine1086 CC,Max Power62.1 bhp,Seats5
2544,Audi Q7 2006-2020 35 TDI Quattro Premium Plus,29 Lakh*,New Car (On-Road Price) : Rs.80.60 Lakh*,2015,Dealer,"72,000 kms",First Owner,Diesel,Automatic,Mileage12.07 kmpl,Engine2967 CC,Max Power241.4 bhp,Seats7
2545,Toyota Innova 2.5 G4 Diesel 7-seater,5.95 Lakh*,,2011,Dealer,"1,08,800 kms",First Owner,Diesel,Manual,Mileage12.8 kmpl,Engine2494 CC,Max Power102 bhp,Seats7
2546,Maruti Alto LXi BSIII,1.75 Lakh*,,2008,Dealer,"30,000 kms",First Owner,Petrol,Manual,Mileage19.7 kmpl,Engine796 CC,Max Power46.3 bhp,Seats5
2547,Volkswagen Polo Diesel Trendline 1.2L,2.95 Lakh*,,2012,Dealer,"38,000 kms",First Owner,Diesel,Manual,Mileage22.07 kmpl,Engine1199 CC,Max Power73.9 bhp,Seats5
2548,Maruti Swift Dzire ZDI,6.75 Lakh*,,2015,Dealer,"86,000 kms",First Owner,Diesel,Manual,Mileage26.59 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
2549,Hyundai Verna CRDi 1.6 SX Option,11.5 Lakh*,,2018,Dealer,"18,000 kms",First Owner,Diesel,Manual,Mileage22.0 kmpl,Engine1582 CC,Max Power126.2 bhp,Seats5
2550,Volkswagen Polo 2015-2019 GT TSI,8.75 Lakh*,New Car (On-Road Price) : Rs.6.96-11.44 Lakh*,2018,Dealer,"27,000 kms",First Owner,Petrol,Automatic,Mileage17.21 kmpl,Engine1197 CC,Max Power103.5 bhp,Seats5
2551,Mahindra TUV 300 T4 Plus,6.49 Lakh*,,2017,Dealer,"72,432 kms",First Owner,Diesel,Manual,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Seats7
2552,MG Hector Sharp DCT,16.3 Lakh*,,2019,Dealer,"9,293 kms",First Owner,Petrol,Automatic,Mileage13.96 kmpl,Engine1451 CC,Max Power141 bhp,Seats5
2553,Hyundai Santro Xing XL,"95,000*",,2006,Individual,"30,000 kms",First Owner,Petrol,Manual,,Engine1086 CC,,Seats5
2554,Mercedes-Benz S-Class S 350 CDIL,18.39 Lakh*,New Car (On-Road Price) : Rs.1.71Cr-1.81 Cr*,2011,Dealer,"90,000 kms",First Owner,Diesel,Automatic,Mileage13.5 kmpl,Engine2987 CC,Max Power282 bhp,Seats5
2555,Maruti Zen Estilo VXI BSIV,1.95 Lakh*,,2010,Dealer,"84,515 kms",First Owner,Petrol,Manual,Mileage19.0 kmpl,Engine998 CC,Max Power67.1 bhp,Seats5
2556,Maruti Ertiga CNG VXI,7.4 Lakh*,New Car (On-Road Price) : Rs.10.23 Lakh*,2017,Dealer,"65,000 kms",First Owner,CNG,Manual,Mileage26.08 km/kg,Engine1462 CC,Max Power91.19 bhp,Seats7
2557,Volkswagen Polo 1.5 TDI Highline,5.8 Lakh*,,2015,Dealer,"65,817 kms",First Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88.8 bhp,Seats5
2558,Maruti Wagon R Stingray VXI,3.6 Lakh*,,2013,Dealer,"50,287 kms",First Owner,Petrol,Manual,Mileage20.51 kmpl,Engine998 CC,Max Power67.04 bhp,Seats5
2559,Hyundai Creta 1.6 SX Option Diesel,15 Lakh*,New Car (On-Road Price) : Rs.11.76-20.46 Lakh*,2019,Individual,"25,000 kms",First Owner,Diesel,Manual,Mileage20.5 kmpl,Engine1582 CC,Max Power126.2 bhp,Seats5
2560,Jaguar XF 2.2 Litre Luxury,24 Lakh*,,2015,Dealer,"28,000 kms",First Owner,Diesel,Automatic,Mileage16.36 kmpl,Engine2179 CC,Max Power187.7 bhp,Seats5
2561,Maruti Eeco CNG HTR 5-STR,1.9 Lakh*,New Car (On-Road Price) : Rs.5.85 Lakh*,2010,Individual,"40,000 kms",First Owner,CNG,Manual,Mileage21.94 km/kg,Engine1196 CC,Max Power63 bhp,Seats5
2562,Chevrolet Spark 1.0 LT,1.5 Lakh*,,2010,Dealer,"78,000 kms",First Owner,Petrol,Manual,Mileage18.0 kmpl,Engine995 CC,Max Power62 bhp,Seats5
2563,Jaguar XF 2.2 Litre Luxury,18.95 Lakh*,,2013,Dealer,"33,500 kms",First Owner,Diesel,Automatic,Mileage16.36 kmpl,Engine2179 CC,Max Power187.7 bhp,Seats5
2564,Hyundai i20 Magna 1.2,5.25 Lakh*,New Car (On-Road Price) : Rs.7.90-13.23 Lakh*,2016,Individual,"75,000 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Seats5
2565,Mercedes-Benz E-Class E 200 CGI,41.5 Lakh*,New Car (On-Road Price) : Rs.74.17-1.72 Cr*,2017,Dealer,"26,000 kms",First Owner,Petrol,Automatic,Mileage12.0 kmpl,Engine1991 CC,Max Power184 bhp,Seats5
2566,Fiat Punto 1.2 Dynamic,1.3 Lakh*,,2010,Individual,"50,000 kms",First Owner,Petrol,Manual,Mileage15.7 kmpl,,,
2567,Hyundai i20 Sportz 1.4 CRDi,4 Lakh*,New Car (On-Road Price) : Rs.9.68-12.84 Lakh*,2013,Individual,"1,30,000 kms",First Owner,Diesel,Manual,Mileage21.9 kmpl,Engine1396 CC,Max Power88.76 bhp,Seats5
2568,Renault KWID AMT,3.45 Lakh*,New Car (On-Road Price) : Rs.4.00-6.54 Lakh*,2017,Dealer,"54,000 kms",First Owner,Petrol,Automatic,Mileage24.04 kmpl,Engine999 CC,Max Power67 bhp,Seats5
2569,Mahindra Marazzo M8,10.55 Lakh*,New Car (On-Road Price) : Rs.13.44-16.21 Lakh*,2018,Dealer,"40,000 kms",First Owner,Diesel,Manual,Mileage17.3 kmpl,Engine1497 CC,Max Power121 bhp,Seats7
2570,Maruti Alto 800 LXI,3.1 Lakh*,New Car (On-Road Price) : Rs.3.50-4.69 Lakh*,2017,Dealer,"9,210 kms",First Owner,Petrol,Manual,Mileage24.7 kmpl,Engine796 CC,Max Power47.3 bhp,Seats5
2571,Maruti Swift Dzire Tour 2012-2018 LDI,4.75 Lakh*,,2012,Dealer,"20,699 kms",First Owner,Diesel,Manual,Mileage23.4 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
2572,Maruti Ignis 1.2 Alpha BSIV,5.76 Lakh*,New Car (On-Road Price) : Rs.5.72-8.48 Lakh*,2018,Individual,"25,000 kms",First Owner,Petrol,Manual,Mileage20.89 kmpl,Engine1197 CC,Max Power81.80 bhp,Seats5
2573,Maruti SX4 S Cross DDiS 200 Zeta,8.65 Lakh*,,2017,Dealer,"31,000 kms",First Owner,Diesel,Manual,Mileage23.65 kmpl,Engine1248 CC,Max Power88.5 bhp,Seats5
2574,Audi Q3 30 TDI Premium FWD,24.5 Lakh*,,2017,Dealer,"48,800 kms",First Owner,Diesel,Automatic,Mileage18.51 kmpl,Engine1968 CC,Max Power147.51 bhp,Seats5
2575,Maruti Celerio LXI,4.45 Lakh*,,2019,Dealer,"18,000 kms",First Owner,Petrol,Manual,Mileage23.1 kmpl,Engine998 CC,Max Power67.04 bhp,Seats5
2576,Mahindra Bolero DI DX 7 Seater,1 Lakh*,New Car (On-Road Price) : Rs.8.99-10.55 Lakh*,2003,Individual,"1,20,000 kms",First Owner,Diesel,Manual,Mileage13.6 kmpl,Engine2523 CC,Max Power63 bhp,Seats7
2577,Volkswagen Polo 1.2 MPI Highline,4.6 Lakh*,,2014,Dealer,"70,000 kms",First Owner,Petrol,Manual,Mileage16.47 kmpl,Engine1198 CC,Max Power74 bhp,Seats5
2578,Maruti Wagon R LXI BSII,3.8 Lakh*,New Car (On-Road Price) : Rs.5.51-7.33 Lakh*,2014,Dealer,"1,01,200 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine998 CC,Max Power67.1 bhp,Seats5
2579,Mahindra Scorpio S10 8 Seater,11.5 Lakh*,,2016,Dealer,"35,000 kms",First Owner,Diesel,Manual,Mileage15.4 kmpl,Engine2179 CC,Max Power120 bhp,Seats8
2580,Toyota Fortuner 4x2 AT,15 Lakh*,New Car (On-Road Price) : Rs.39.09-45.18 Lakh*,2013,Dealer,"80,000 kms",First Owner,Diesel,Automatic,Mileage12.55 kmpl,Engine2982 CC,Max Power168.5 bhp,Seats7
2581,Mahindra Quanto C4,2.75 Lakh*,,2013,Individual,"65,600 kms",First Owner,Diesel,Manual,Mileage17.21 kmpl,Engine1493 CC,Max Power100 bhp,Seats7
2582,Hyundai i20 2015-2017 Magna 1.2,4.99 Lakh*,,2015,Dealer,"42,000 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Seats5
2583,Maruti Alto LXi,1.4 Lakh*,,2010,Individual,"50,000 kms",First Owner,Petrol,Manual,Mileage19.7 kmpl,Engine796 CC,Max Power46.3 bhp,Seats5
2584,Ford Figo Diesel ZXI,2.75 Lakh*,New Car (On-Road Price) : Rs.9.36-9.89 Lakh*,2011,Dealer,"55,500 kms",First Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1399 CC,Max Power68.05 bhp,Seats5
2585,Nissan Sunny Diesel XV,3.4 Lakh*,,2012,Dealer,"63,000 kms",First Owner,Diesel,Manual,Mileage21.64 kmpl,Engine1461 CC,Max Power84.8 bhp,Seats5
2586,Mercedes-Benz GL-Class 220d 4MATIC Sport,36.75 Lakh*,New Car (On-Road Price) : Rs.75.78 Lakh*,2017,Dealer,"38,000 kms",First Owner,Diesel,Automatic,Mileage17.9 kmpl,Engine2143 CC,Max Power170 bhp,Seats5
2587,Honda City 1.3 LXI,1 Lakh*,New Car (On-Road Price) : Rs.12.90-17.10 Lakh*,2003,Dealer,"1,77,000 kms",First Owner,Petrol,Manual,Mileage11.7 kmpl,Engine1343 CC,Max Power100 bhp,Seats5
2588,Honda Brio V MT,3.25 Lakh*,,2012,Dealer,"43,000 kms",First Owner,Petrol,Manual,Mileage19.4 kmpl,Engine1198 CC,Max Power86.8 bhp,Seats5
2589,Toyota Etios VX,4.5 Lakh*,,2016,Dealer,"18,186 kms",First Owner,Petrol,Manual,Mileage17.6 kmpl,Engine1496 CC,Max Power88.7 bhp,Seats5
2590,Honda Brio S MT,3.95 Lakh*,,2016,Dealer,"43,000 kms",First Owner,Petrol,Manual,Mileage19.4 kmpl,Engine1198 CC,Max Power86.8 bhp,Seats5
2591,Toyota Fortuner 4x2 AT,17.95 Lakh*,New Car (On-Road Price) : Rs.39.12-45.22 Lakh*,2014,Dealer,"67,400 kms",First Owner,Diesel,Automatic,Mileage12.55 kmpl,Engine2982 CC,Max Power168.5 bhp,Seats7
2592,Skoda Rapid 1.6 MPI Ambition,4.9 Lakh*,New Car (On-Road Price) : Rs.8.99-15.82 Lakh*,2014,Dealer,"29,000 kms",First Owner,Petrol,Manual,Mileage15.0 kmpl,Engine1598 CC,Max Power105 bhp,Seats5
2593,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,8.65 Lakh*,,2018,Dealer,"23,354 kms",First Owner,Diesel,Manual,Mileage25.1 kmpl,Engine1248 CC,Max Power88.5 bhp,Seats5
2594,Maruti Ciaz VDi Plus SHVS,5.95 Lakh*,,2016,Individual,"94,400 kms",First Owner,Diesel,Manual,Mileage28.09 kmpl,Engine1248 CC,Max Power88.5 bhp,Seats5
2595,Ford Fiesta Diesel Titanium Plus,4.5 Lakh*,,2011,Individual,"80,000 kms",First Owner,Diesel,Manual,Mileage23.5 kmpl,Engine1498 CC,Max Power88.7 bhp,Seats5
2596,Datsun RediGO S,3.4 Lakh*,New Car (On-Road Price) : Rs.3.21-5.41 Lakh*,2018,Individual,"15,000 kms",First Owner,Petrol,Manual,Mileage22.7 kmpl,Engine799 CC,Max Power53.64 bhp,Seats5
2597,Volkswagen Polo 1.2 MPI Comfortline,5.3 Lakh*,New Car (On-Road Price) : Rs.6.96-11.44 Lakh*,2016,Dealer,"30,000 kms",First Owner,Petrol,Manual,Mileage16.2 kmpl,Engine1199 CC,Max Power74 bhp,Seats5
2598,Mahindra Xylo E8 ABS,3 Lakh*,,2011,Individual,"80,000 kms",First Owner,Diesel,Manual,Mileage14.0 kmpl,Engine2498 CC,Max Power112 bhp,Seats7
2599,Hyundai Grand i10 1.2 Kappa Magna BSIV,5.1 Lakh*,New Car (On-Road Price) : Rs.7.06-7.42 Lakh*,2018,Dealer,"15,914 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power81.86 bhp,Seats5
2600,Mahindra XUV500 W8 2WD,8.8 Lakh*,New Car (On-Road Price) : Rs.16.61-23.39 Lakh*,2015,Dealer,"72,000 kms",First Owner,Diesel,Manual,Mileage15.1 kmpl,Engine2179 CC,Max Power140 bhp,Seats7
2601,Maruti Eeco CNG 5 Seater AC BSIV,3.85 Lakh*,New Car (On-Road Price) : Rs.5.85 Lakh*,2015,Dealer,"60,200 kms",First Owner,CNG,Manual,Mileage21.94 km/kg,Engine1196 CC,Max Power61.7 bhp,Seats5
2602,Toyota Corolla Altis G,2.5 Lakh*,,2009,Individual,"60,000 kms",First Owner,Petrol,Manual,Mileage14.53 kmpl,Engine1798 CC,Max Power138.1 bhp,Seats5
2603,Maruti Ritz VDI (ABS) BS IV,3.25 Lakh*,,2012,Dealer,"65,000 kms",First Owner,Diesel,Manual,Mileage23.2 kmpl,Engine1248 CC,Max Power73.94 bhp,Seats5
2604,Hyundai Verna 1.6 VTVT,4.48 Lakh*,New Car (On-Road Price) : Rs.10.56-16.45 Lakh*,2012,Dealer,"32,472 kms",First Owner,Petrol,Manual,Mileage17.01 kmpl,Engine1591 CC,Max Power121.3 bhp,Seats5
2605,Honda City i VTEC SV,6.65 Lakh*,New Car (On-Road Price) : Rs.12.90-16.99 Lakh*,2016,Dealer,"57,116 kms",First Owner,Petrol,Manual,Mileage17.4 kmpl,Engine1497 CC,Max Power117.3 bhp,Seats5
2606,Jeep Compass 2.0 Limited,8 Lakh*,New Car (On-Road Price) : Rs.22.44-34.11 Lakh*,2018,Dealer,"20,000 kms",First Owner,Diesel,Manual,Mileage17.1 kmpl,Engine1956 CC,Max Power170 bhp,Seats5
2607,Hyundai Venue SX Plus Turbo DCT,12.4 Lakh*,,2020,Dealer,"3,200 kms",First Owner,Petrol,Automatic,Mileage18.15 kmpl,Engine998 CC,Max Power118.35 bhp,Seats5
2608,Volkswagen Polo 2015-2019 1.0 MPI Highline Plus,5.95 Lakh*,New Car (On-Road Price) : Rs.6.58-10.72 Lakh*,2018,Individual,"15,000 kms",First Owner,Petrol,Manual,Mileage18.78 kmpl,Engine999 CC,Max Power75 bhp,Seats5
2609,Mercedes-Benz GLE Class 250d,38.5 Lakh*,,2016,Dealer,"46,003 kms",First Owner,Diesel,Automatic,Mileage17.9 kmpl,Engine2143 CC,Max Power201.15 bhp,Seats5
2610,Hyundai Venue SX Dual Tone Turbo BSIV,9.75 Lakh*,New Car (On-Road Price) : Rs.7.99-13.64 Lakh*,2019,Dealer,"16,000 kms",First Owner,Petrol,Manual,Mileage18.27 kmpl,Engine998 CC,Max Power118.35 bhp,Seats5
2611,Hyundai EON Era Plus,2.95 Lakh*,,2014,Dealer,"62,201 kms",First Owner,Petrol,Manual,Mileage21.1 kmpl,Engine814 CC,Max Power55.2 bhp,Seats5
2612,Hyundai Elantra CRDi SX,7 Lakh*,New Car (On-Road Price) : Rs.22.44-25.31 Lakh*,2013,Dealer,"80,000 kms",First Owner,Diesel,Manual,Mileage22.7 kmpl,Engine1582 CC,Max Power126.24 bhp,Seats5
2613,Toyota Innova 2.5 G1 Diesel 8-seater,4.5 Lakh*,,2008,Individual,"1,25,000 kms",First Owner,Diesel,Manual,Mileage12.8 kmpl,Engine2494 CC,Max Power102 bhp,Seats8
2614,Chevrolet Spark 1.0 LS,1.55 Lakh*,,2011,Dealer,"30,054 kms",First Owner,Petrol,Manual,Mileage18.0 kmpl,Engine995 CC,Max Power62 bhp,Seats5
2615,Hyundai Verna 1.6 SX VTVT (O),10.35 Lakh*,New Car (On-Road Price) : Rs.10.56-16.45 Lakh*,2019,Individual,"6,500 kms",First Owner,Petrol,Manual,Mileage17.1 kmpl,Engine1591 CC,Max Power121.3 bhp,Seats5
2616,Hyundai i20 Magna,4.45 Lakh*,New Car (On-Road Price) : Rs.7.90-13.23 Lakh*,2013,Trustmark Dealer,"7,268 kms",First Owner,Petrol,Manual,Mileage18.5 kmpl,Engine1197 CC,Max Power82.85 bhp,Seats5
2617,Maruti Ertiga VXI,5.85 Lakh*,New Car (On-Road Price) : Rs.8.93-12.30 Lakh*,2013,Dealer,"41,000 kms",First Owner,Petrol,Manual,Mileage16.02 kmpl,Engine1373 CC,Max Power93.7 bhp,Seats7
2618,Skoda Laura Ambiente 2.0 TDI CR AT,3.55 Lakh*,,2010,Dealer,"87,000 kms",First Owner,Diesel,Automatic,Mileage20.0 kmpl,Engine1968 CC,Max Power138.1 bhp,Seats5
2619,Hyundai Santro Xing XG,"70,000*",,2004,Individual,"1,20,000 kms",First Owner,Petrol,Manual,Mileage17.0 kmpl,,,Seats5
2620,Mercedes-Benz S-Class S 350 CDI,14.55 Lakh*,New Car (On-Road Price) : Rs.1.69Cr-1.81 Cr*,2010,Dealer,"50,312 kms",First Owner,Diesel,Automatic,Mileage13.5 kmpl,Engine2987 CC,Max Power282 bhp,Seats5
2621,Renault KWID RXT,3.25 Lakh*,,2016,Dealer,"37,250 kms",First Owner,Petrol,Manual,Mileage25.17 kmpl,Engine799 CC,Max Power53.3 bhp,Seats5
2622,Honda Civic 1.8 V MT,2.45 Lakh*,,2008,Dealer,"61,000 kms",First Owner,Petrol,Manual,Mileage13.5 kmpl,Engine1799 CC,Max Power130 bhp,Seats5
2623,Toyota Camry Hybrid,18.5 Lakh*,,2015,Dealer,"49,500 kms",First Owner,Electric,Automatic,Mileage19.16 km/hr,Engine2494 CC,Max Power157.7 bhp,Seats5
2624,Maruti Ertiga SHVS ZDI,7.7 Lakh*,,2015,Dealer,"76,000 kms",First Owner,Diesel,Manual,Mileage24.52 kmpl,Engine1248 CC,Max Power88.5 bhp,Seats7
2625,Chevrolet Beat LT,2 Lakh*,,2011,Individual,"50,000 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1199 CC,Max Power79.4 bhp,Seats5
2626,Hyundai Grand i10 Sportz,4.8 Lakh*,,2016,Dealer,"21,000 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power82 bhp,Seats5
2627,Volkswagen Polo Petrol Highline 1.2L,3.5 Lakh*,New Car (On-Road Price) : Rs.7.23-11.75 Lakh*,2013,Individual,"60,000 kms",First Owner,Petrol,Manual,Mileage16.47 kmpl,Engine1198 CC,Max Power73.9 bhp,Seats5
2628,Hyundai Verna 1.6 CRDI AT SX Option,13.85 Lakh*,,2019,Dealer,"23,150 kms",First Owner,Diesel,Automatic,Mileage19.08 kmpl,Engine1582 CC,Max Power126.2 bhp,Seats5
2629,BMW 5 Series 520d Luxury Line,27.99 Lakh*,New Car (On-Road Price) : Rs.76.04-85.24 Lakh*,2014,Dealer,"41,265 kms",First Owner,Diesel,Automatic,Mileage18.12 kmpl,Engine1995 CC,Max Power190 bhp,Seats5
2630,Honda City V MT,6.75 Lakh*,New Car (On-Road Price) : Rs.12.90-17.10 Lakh*,2015,Dealer,"66,996 kms",First Owner,Petrol,Manual,Mileage17.4 kmpl,Engine1497 CC,Max Power117.6 bhp,Seats5
2631,Maruti Alto K10 VXI,2.99 Lakh*,,2016,Individual,"13,000 kms",First Owner,Petrol,Manual,Mileage23.95 kmpl,Engine998 CC,Max Power67.05 bhp,Seats5
2632,Maruti Baleno Alpha 1.2,6.77 Lakh*,New Car (On-Road Price) : Rs.6.88-10.68 Lakh*,2017,Dealer,"17,865 kms",First Owner,Petrol,Manual,Mileage21.4 kmpl,Engine1197 CC,Max Power83.1 bhp,Seats5
2633,Maruti Vitara Brezza VDi Option,8 Lakh*,,2017,Dealer,"67,000 kms",First Owner,Diesel,Manual,Mileage24.3 kmpl,Engine1248 CC,Max Power88.5 bhp,Seats5
2634,Maruti Ertiga SHVS ZDI Plus,10 Lakh*,,2017,Dealer,"65,000 kms",First Owner,Diesel,Manual,Mileage24.52 kmpl,Engine1248 CC,Max Power88.5 bhp,Seats7
2635,Tata Nexon 1.5 Revotorq XT,8.85 Lakh*,New Car (On-Road Price) : Rs.10.31-15.61 Lakh*,2018,Dealer,"12,000 kms",First Owner,Diesel,Manual,Mileage21.5 kmpl,Engine1497 CC,Max Power108.5 bhp,Seats5
2636,Renault Duster 85PS Diesel RxL,5.75 Lakh*,,2014,Dealer,"67,647 kms",First Owner,Diesel,Manual,Mileage19.87 kmpl,Engine1461 CC,Max Power83.8 bhp,Seats5
2637,Hyundai Grand i10 1.2 CRDi Sportz Option,5.55 Lakh*,,2017,Dealer,"36,643 kms",First Owner,Diesel,Manual,Mileage24.0 kmpl,Engine1186 CC,Max Power73.97 bhp,Seats5
2638,Maruti Wagon R VXI Opt 1.2BSIV,5.45 Lakh*,New Car (On-Road Price) : Rs.5.40-7.20 Lakh*,2019,Dealer,"7,800 kms",First Owner,Petrol,Manual,Mileage21.5 kmpl,Engine1197 CC,Max Power81.80 bhp,Seats5
